id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate
4,I need a gluten-free dinner that takes under 20 minutes
5,What can I make with just eggs and cheese?
6,Suggest a traditional Japanese ramen recipe
7,I'm hosting 8 people for dinner. Something impressive but not hard.
8,Give me a healthy kid-friendly snack with no added sugar
9,I want something spicy. Surprise me.
10,Can you suggest a recipe that uses leftover Thanksgiving turkey?
11,I'm on a keto diet. What can I have for lunch?
12,Recommend a one-pot meal for camping with minimal cleanup
13,I have salmon but no oven. What are my options?
