id,query,open_code_notes
Q01,"just eggs in the fridge, need something high protein and quick, hit me with something creative","should have asked for what other ingredients I have"
Q02,"i have a meeting, want something quick, on a diet want something veg but protein, not great at cooking","made assumption that I am fine with chickpea, assumed 2, assumed i have ingredients"
Q03,"I'm in mood for something delicious but vegetarian (no meat), don't know much to cook","made assumption that I am fine with chyeese, assumed 2, assumed i have ingredients"
Q04,"i want to try some new recipes","""Query is completely open-ended, no constraints given. Bot picked shakshuka (egg-based, North African). No mention of why it chose this cuisine/protein. Assumed 2 servings. Didn't acknowledge the 'new recipes' intent - how does it know what's new to the user?"""
Q05,"i am hungry and want to make something quick","""Query is completely open-ended, no constraints given. picked parmesan speghetti, not sure if I want it. "
Q06,"feeling pretty sick, what can i make with basic stuff i already have? nothing fancy","25 mins for a sick person is too much, it just assumed that it was belly sickness, "
Q07,"broke til friday, need something cheap and vegan i can make fast","for vegeterian it limits to chickpea or white beans. makes assumption that I have chickpea"
Q08,"friends are coming for dinner and some of them eat only halal what can I make","why moroccan, why not indian, pakistani or any other, assumed 4 "
Q09,"my daughter has a nut allergy and can't have gluten either. need a 30 min dinner idea","assumed that daughter is not vegetarian, "
Q10,"want a one pot vegan meal, something hearty not just a salad","this was good, but made assumption on time. "
Q11,"don't have much at home, need something halal and quick, i'm not a great cook","assumes 2 for each recipie. goes to mediterranean dishes when asked vegeterian"
Q12,"cooking dinner for my wife tonight, we're both doing keto, want to make something special","Assumed salmon is considered special with butter, may be that's what we eat regularly, salmon was available, why fish only "
Q13,"my kid is sick and allergic to dairy, what's something comforting i can make quick?","assumed kid eat chicken and for 2 people. "
Q14,"need to meal prep for the week, vegan, something that keeps well for 5 days","assumption vegan limits to bean only, assumed I am pro"
Q15,"just got back from the gym, need something high protein fast","assumed that i have turkey and i like turkey, assumed I am pro"
Q16,"trying to eat vegetarian on a budget, maybe $15 for the whole meal? not a great cook",""
Q17,"got some leftover chicken from last night, what can i do with it that's easy?",""
Q18,"want to make a complex one pot meal, needs to be gluten free though",""
